Groen,"[['Staf Aerts', 4544], ['Meyrem Almaci', 4381], ['Imade Annouri', 4052], ['Stijn Bex', 4385], ['Johan Danen', 4069], ['Ann De Martelaer', 1781], ['Celia Groothedde', 4398], ['Elisabeth Meuleman', 3173], ['An Moerenhout', 4058], ['Björn Rzoska', 3920], ['Mieke Schauvliege', 4409], ['Chris Steenwegen', 4414], ['Tine Van den Brande', 4419], ['Jeremie Vaneeckhout', 4426]]"
Onafhankelijke,"[['Els Ampe', 4382], ['Sihame El Kaouakibi', 4396]]"
Vooruit,"[['Hannes Anaf', 4383], ['Kurt De Loor', 2791], ['Hannelore Goeman', 4397], ['Emine Gül Isci', 4598], ['Annick Lambrecht', 4402], ['Els Robeyns', 3221], ['Katia Segers', 4087], ['Bruno Tobback', 1882], ['Steve Vandenberghe', 4107], ['Freya Van den Bossche', 3458], ['Ludwig Vandenhove', 4423], ['Thijs Verbeurgt', 4583], ['Maxim Veys', 4428]]"
Vlaams Belang,"[['Roosmarijn Beckers', 4384], ['Adeline Blancquaert', 4386], ['Filip Brusselmans', 4387], ['Yves Buysse', 4388], ['Bart Claes', 4390], ['Johan Deckmyn', 2838], ['Immanuel De Reuse', 4432], ['Frieda Verougstraete-Deschacht', 4434], ['Filip Dewinter', 1803], [""Guy D'haeseleer"", 4074], ['Chris Janssens', 3418], ['Jan Laeremans', 4400], ['Ilse Malfroot', 4403], ['Leo Pieters', 3298], ['Carmen Ryheul', 4408], ['Stefaan Sintobin', 2825], ['Kristof Slagmulder', 4410], ['Klaas Slootmans', 4412], ['Els Sterckx', 4416], ['Anke Van dermeersch', 4095], ['Sam Van Rooy', 4421], ['Wim Verheyden', 4433], ['Suzy Wouters', 4429]]"
cd&v,"[['Robrecht Bothuyne', 3430], ['Karin Brouwers', 3426], ['Stijn De Roo', 4525], ['Maaike De Rudder', 4392], ['Bart Dochy', 4075], ['Martine Fournier', 3299], ['Vera Jans', 2808], ['Sofie Mertens', 4572], ['Katrien Partyka', 4059], ['Tinne Rombouts', 2832], ['Joke Schauvliege', 2831], ['Katrien Schryvers', 3433], ['Koen Van den Heuvel', 2815], ['Orry Van de Wauwer', 4356], ['Loes Vandromme', 4425], ['Peter Van Rompuy', 3918], ['Kurt Vanryckeghem', 4427], ['Brecht Warnez', 4443], ['Hilâl Yalçin', 4547]]"
N-VA,"[['Allessia Claes', 4389], ['Arnout Coel', 4444], ['Cathy Coudyser', 4068], ['Koen Daniëls', 4070], ['Inez De Coninck', 4391], ['Annick De Ridder', 2793], ['Maarten De Veuster', 4393], ['Maaike De Vreese', 4394], ['Bart De Wever', 2796], ['Veerle Geerinckx', 4564], ['Karolien Grosemans', 4399], ['Andries Gryffroy', 4077], ['Liesbeth Homans', 3411], ['Sofie Joosen', 4078], ['Kathleen Krekels', 4079], ['Bert Maertens', 4110], ['Marius Meremans', 3919], ['Rita Moors', 4524], ['Philippe Muyters', 3461], ['Joris Nachtergaele', 4442], ['Freya Perdaens', 4405], ['Axel Ronse', 4060], ['Elke Sleurs', 4088], ['Sarah Smeyers', 4413], ['Nadia Sminate', 4089], ['Annabel Tavernier', 4417], ['Jeroen Tiebout', 4575], ['Wilfried Vandaele', 3464], ['Steven Vandeput', 4424], ['Tine van der Vloet', 4094], ['Kris Van Dijck', 1895], ['Karl Vanlouwe', 4102], ['Paul Van Miert', 4064], ['Manuela Van Werde', 4099], ['Katja Verheyen', 4431]]"
Open Vld,"[['Steven Coenegrachts', 4446], ['Jean-Jacques De Gucht', 3416], ['Gwenny De Vroe', 3448], [""Stephanie D'Hose"", 4395], ['Marino Keulen', 1834], ['Freya Saeys', 4086], ['Bob Savenberg', 4597], ['Willem-Frederik Schiltz', 4062], ['Bart Somers', 2773], ['Emmily Talpe', 4272], ['Bart Tommelein', 3434], ['Maurits Vande Reyde', 4422], ['Bart Van Hulle', 4523], ['Mercedes Van Volcem', 3444]]"
PVDA,"[['Kim De Witte', 4407], [""Jos D'Haese"", 4411], ['Lise Vandecasteele', 4415], ['Onno Vandewalle', 4584]]"
