4421,"['Sam Van Rooy', 'Vlaams Belang']"
4427,"['Kurt Vanryckeghem', 'cd&v']"
3444,"['Mercedes Van Volcem', 'Open Vld']"
4099,"['Manuela Van Werde', 'N-VA']"
4583,"['Thijs Verbeurgt', 'Vooruit']"
4433,"['Wim Verheyden', 'Vlaams Belang']"
4431,"['Katja Verheyen', 'N-VA']"
4428,"['Maxim Veys', 'Vooruit']"
4443,"['Brecht Warnez', 'cd&v']"
4429,"['Suzy Wouters', 'Vlaams Belang']"
4547,"['Hilâl Yalçin', 'cd&v']"
